"body_mass_value","migration_strategy","population"
2071.54,"for_strat_midhigh",80
2071.54,"for_strat_canopy",0
2071.54,"for_strat_aerial",0
1700,"for_strat_watbelowsurf",0
1700,"for_strat_wataroundsurf",0
1700,"for_strat_ground",100
1700,"for_strat_understory",0
1700,"for_strat_midhigh",0
1700,"for_strat_canopy",0
1700,"for_strat_aerial",0
2187.62,"for_strat_watbelowsurf",0
2187.62,"for_strat_wataroundsurf",0
2187.62,"for_strat_ground",70
2187.62,"for_strat_understory",20
2187.62,"for_strat_midhigh",10
2187.62,"for_strat_canopy",0
2187.62,"for_strat_aerial",0
3100,"for_strat_watbelowsurf",0
3100,"for_strat_wataroundsurf",0
3100,"for_strat_ground",100
3100,"for_strat_understory",0
3100,"for_strat_midhigh",0
3100,"for_strat_canopy",0
3100,"for_strat_aerial",0
2769.46,"for_strat_watbelowsurf",0
2769.46,"for_strat_wataroundsurf",0
2769.46,"for_strat_ground",90
2769.46,"for_strat_understory",10
2769.46,"for_strat_midhigh",0
2769.46,"for_strat_canopy",0
2769.46,"for_strat_aerial",0
2850.47,"for_strat_watbelowsurf",0
2850.47,"for_strat_wataroundsurf",0
2850.47,"for_strat_ground",100
2850.47,"for_strat_understory",0
2850.47,"for_strat_midhigh",0
2850.47,"for_strat_canopy",0
2850.47,"for_strat_aerial",0
3117.69,"for_strat_watbelowsurf",0
3117.69,"for_strat_wataroundsurf",0
3117.69,"for_strat_ground",70
3117.69,"for_strat_understory",30
3117.69,"for_strat_midhigh",0
3117.69,"for_strat_canopy",0
3117.69,"for_strat_aerial",0
3743.23,"for_strat_watbelowsurf",0
3743.23,"for_strat_wataroundsurf",0
3743.23,"for_strat_ground",100
3743.23,"for_strat_understory",0
3743.23,"for_strat_midhigh",0
3743.23,"for_strat_canopy",0
3743.23,"for_strat_aerial",0
4133,"for_strat_watbelowsurf",0
4133,"for_strat_wataroundsurf",0
4133,"for_strat_ground",80
4133,"for_strat_understory",20
4133,"for_strat_midhigh",0
4133,"for_strat_canopy",0
4133,"for_strat_aerial",0
2800,"for_strat_watbelowsurf",0
2800,"for_strat_wataroundsurf",0
2800,"for_strat_ground",100
2800,"for_strat_understory",0
2800,"for_strat_midhigh",0
