"body_mass_value","diet_type","population"
2500,"seed",20
2500,"plant_o",0
2600,"inv",0
2600,"vend",0
2600,"vect",0
2600,"vfish",0
2600,"vunk",0
2600,"scav",0
2600,"fruit",80
2600,"nect",0
2600,"seed",10
2600,"plant_o",10
3500,"inv",10
3500,"vend",0
3500,"vect",0
3500,"vfish",0
3500,"vunk",0
3500,"scav",0
3500,"fruit",70
3500,"nect",0
3500,"seed",10
3500,"plant_o",10
2333.06,"inv",20
2333.06,"vend",0
2333.06,"vect",0
2333.06,"vfish",0
2333.06,"vunk",0
2333.06,"scav",0
2333.06,"fruit",20
2333.06,"nect",0
2333.06,"seed",20
2333.06,"plant_o",40
1463.8,"inv",10
1463.8,"vend",0
1463.8,"vect",0
1463.8,"vfish",0
1463.8,"vunk",0
1463.8,"scav",0
1463.8,"fruit",50
1463.8,"nect",0
1463.8,"seed",40
1463.8,"plant_o",0
192,"inv",10
192,"vend",0
192,"vect",0
192,"vfish",0
192,"vunk",0
192,"scav",0
192,"fruit",50
192,"nect",0
192,"seed",40
192,"plant_o",0
1785,"inv",60
1785,"vend",0
1785,"vect",10
1785,"vfish",0
1785,"vunk",0
1785,"scav",0
1785,"fruit",30
1785,"nect",0
1785,"seed",0
1785,"plant_o",0
1314.47,"inv",60
1314.47,"vend",0
1314.47,"vect",10
1314.47,"vfish",0
1314.47,"vunk",0
1314.47,"scav",0
1314.47,"fruit",30
1314.47,"nect",0
1314.47,"seed",0
1314.47,"plant_o",0
1478.81,"inv",60
1478.81,"vend",0
1478.81,"vect",10
1478.81,"vfish",0
1478.81,"vunk",0
1478.81,"scav",0
1478.81,"fruit",30
1478.81,"nect",0
1478.81,"seed",0
1478.81,"plant_o",0
1563.26,"inv",60
1563.26,"vend",0
1563.26,"vect",0
1563.26,"vfish",0
1563.26,"vunk",0
1563.26,"scav",0
1563.26,"fruit",40
1563.26,"nect",0
1563.26,"seed",0
1563.26,"plant_o",0
836.69,"inv",100
836.69,"vend",0
836.69,"vect",0
836.69,"vfish",0
836.69,"vunk",0
